#{"t_start": 1769443831.972301, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
150.0,1609,1524.395647
225.0,2611,1526.724722
350.0,3225,1529.855318
175.0,2167,1532.078823
180.0,1983,1533.796609
225.0,2461,1535.974241
150.0,1869,1537.644159
205.0,2147,1539.536676
125.0,1837,1541.228504
195.0,2165,1543.587085
250.0,2581,1545.847221
140.0,2411,1547.96246
275.0,3261,1550.840086
325.0,2853,1553.46609
290.0,2836,1556.372416
490.0,3471,1559.406415
310.0,3442,1562.495065
295.0,2603,1564.757401
480.0,4681,1569.347289
400.0,2719,1571.753151
370.0,3445,1574.719416
155.0,1921,1576.388819
280.0,3017,1579.567092
115.0,1397,1580.810862
200.0,2561,1583.114804
210.0,2023,1584.953691
45.0,1143,1585.937413
235.0,2815,1588.439358
45.0,1453,1589.915601
65.0,2065,1592.117883
215.0,1883,1593.824257
350.0,3491,1601.923216
150.0,2457,1604.461348
175.0,1825,1606.113335
350.0,2540,1608.356366
60.0,1845,1609.972391
40.0,1787,1611.519938
360.0,2405,1613.707055
275.0,2705,1616.627993
380.0,3205,1619.477152
255.0,2721,1621.884744
230.0,1925,1623.579038
560.0,3449,1626.922117
305.0,2551,1629.444413
155.0,2643,1631.758681
325.0,3395,1634.72062
205.0,2047,1636.520591
425.0,3619,1640.222625
535.0,2885,1642.760329
230.0,2191,1644.666561
325.0,3223,1647.471674
335.0,3025,1650.196157
335.0,2497,1652.897548
485.0,2813,1655.335219
630.0,4169,1658.948739
155.0,1831,1660.524251
140.0,1815,1662.158616
200.0,1691,1664.116132
125.0,1675,1665.670863
175.0,1895,1667.36194
110.0,2043,1669.175825
205.0,1945,1670.866829
235.0,2197,1672.829441
355.0,2156,1674.863385
160.0,1599,1676.641886
335.0,2323,1678.683878
160.0,1577,1680.094725
310.0,2537,1682.348015
280.0,2843,1684.876097
200.0,2037,1686.782517
415.0,2433,1689.326987
150.0,1573,1690.719041
425.0,3199,1693.526878
180.0,1897,1702.431654
425.0,3312,1705.36184
245.0,2694,1707.722406
490.0,3507,1710.865459
250.0,2441,1713.52466
285.0,2563,1715.79175
380.0,2683,1718.120992
575.0,4053,1721.606871
210.0,2875,1724.507563
245.0,2285,1726.660042
280.0,2363,1728.745852
620.0,2817,1731.224642
75.0,1329,1732.417465
690.0,4027,1736.200686
595.0,3231,1739.312123
460.0,3119,1742.070645
545.0,4403,1745.894904
165.0,1991,1747.846969
495.0,4053,1751.704431
310.0,3181,1754.487177
345.0,2305,1756.512382
200.0,2063,1758.332364
505.0,2789,1761.343591
375.0,3123,1764.138833
380.0,3291,1767.030608
350.0,2919,1769.614888
180.0,2067,1771.57796
340.0,2689,1774.413367
235.0,2551,1776.6699
525.0,4583,1780.620325
325.0,2561,1782.835225
405.0,3177,1786.137661
740.0,4063,1789.655185
290.0,2675,1791.982043
450.0,3151,1801.262979
670.0,4183,1804.892913
455.0,3251,1807.786656
250.0,2305,1810.294904
555.0,4819,1814.482112
195.0,2437,1816.599171
250.0,3103,1819.316554
290.0,2665,1822.203131
325.0,2819,1824.699422
440.0,3343,1827.74568
310.0,3067,1830.456029
765.0,3605,1834.165451
125.0,1905,1835.846911
145.0,2155,1837.756573
375.0,3323,1840.658678
380.0,2781,1843.071339
475.0,3475,1846.676472
295.0,2853,1849.179883
220.0,2745,1851.577959
185.0,2375,1853.673327
155.0,2113,1855.502614
435.0,3171,1858.801554
250.0,2887,1861.379127
325.0,2347,1863.47681
285.0,2359,1865.541224
385.0,2604,1867.834311
500.0,2411,1870.493207
160.0,2099,1872.339669
390.0,2820,1874.807089
480.0,4381,1878.568629
520.0,3635,1882.223411
105.0,1477,1883.539509
345.0,2719,1885.916177
270.0,3115,1888.666938
5.0,1491,1889.992394
450.0,2743,1892.533437
220.0,3201,1903.427147
440.0,2639,1906.187158
85.0,1787,1907.880526
410.0,3901,1911.302635
125.0,1549,1912.66687
650.0,3323,1915.546079
365.0,3773,1919.418483
345.0,2519,1921.659833
280.0,2767,1924.114401
365.0,2643,1926.4424
395.0,2874,1929.170367
380.0,3721,1932.926227
500.0,4399,1936.777554
185.0,1941,1938.484365
365.0,2630,1940.821334
295.0,2499,1943.557955
80.0,1323,1944.734292
355.0,3229,1947.628155
410.0,3603,1950.890418
190.0,2587,1953.307029
515.0,2988,1956.390247
440.0,3613,1959.52635
310.0,2827,1962.013985
505.0,2677,1964.353376
415.0,3847,1968.267199
270.0,2453,1970.420743
400.0,3089,1973.108
240.0,2387,1975.153295
660.0,3943,1979.103819
210.0,2077,1980.954238
500.0,3843,1984.342404
300.0,2083,1986.155043
610.0,2547,1988.475564
285.0,2313,1990.990182
355.0,2515,1993.308293
295.0,3227,2002.470972
235.0,1873,2004.392867
275.0,3125,2007.132189
340.0,2455,2009.271582
350.0,3328,2012.228827
475.0,3937,2016.222634
70.0,1529,2017.574583
555.0,4039,2021.062099
305.0,2463,2023.182185
365.0,3122,2026.110216
385.0,3709,2029.755674
260.0,2243,2031.743255
185.0,2227,2033.694136
315.0,2951,2036.264146
425.0,3621,2039.97568
235.0,2177,2041.901083
470.0,4413,2045.707511
350.0,3673,2048.856457
370.0,2862,2051.872614
845.0,5357,2056.5101
215.0,2129,2058.390058
160.0,2167,2060.272671
170.0,2081,2062.214539
145.0,2431,2064.774687
220.0,2361,2066.872398
545.0,4771,2071.066013
300.0,3419,2074.236868
470.0,3053,2077.346172
470.0,4265,2081.046457
195.0,2289,2083.087648
350.0,3181,2085.877905
210.0,2087,2088.501866
440.0,3647,2091.960787
465.0,3223,2094.853311
585.0,4523,2109.758205
395.0,3009,2113.002082
210.0,2581,2115.335662
685.0,4115,2119.020788
835.0,3845,2122.361028
340.0,3111,2125.649375
460.0,3691,2128.895013
800.0,4387,2132.800721
600.0,3915,2136.67305
435.0,3335,2139.793865
525.0,4095,2143.446405
345.0,3115,2146.180432
570.0,3839,2150.062901
195.0,2551,2152.320647
250.0,2891,2154.874121
225.0,2251,2156.897032
150.0,2163,2158.84017
250.0,2191,2161.354654
515.0,4475,2165.301975
180.0,2775,2167.745672
290.0,3033,2170.467158
805.0,4905,2175.394282
460.0,3347,2178.314091
325.0,2833,2180.77474
